"filename", "language", "C++", "comment", "blank", "total"
"/home/breno/dev/graphics/src/rendering/vertexarray.cpp", "C++", 27, 0, 6, 33
"/home/breno/dev/graphics/src/rendering/vertexarray.h", "C++", 14, 0, 5, 19
"/home/breno/dev/graphics/src/rendering/vertexbuffer.cpp", "C++", 15, 0, 3, 18
"/home/breno/dev/graphics/src/rendering/vertexbuffer.h", "C++", 11, 0, 4, 15
"/home/breno/dev/graphics/src/resources/assetmanager.cpp", "C++", 80, 0, 15, 95
"/home/breno/dev/graphics/src/resources/assetmanager.h", "C++", 37, 0, 7, 44
"/home/breno/dev/graphics/src/resources/cubemaploader.cpp", "C++", 5, 0, 2, 7
"/home/breno/dev/graphics/src/resources/cubemaploader.h", "C++", 10, 0, 4, 14
"/home/breno/dev/graphics/src/resources/meshloader.cpp", "C++", 5, 0, 1, 6
"/home/breno/dev/graphics/src/resources/meshloader.h", "C++", 8, 0, 3, 11
"/home/breno/dev/graphics/src/resources/modelloader.cpp", "C++", 130, 7, 39, 176
"/home/breno/dev/graphics/src/resources/modelloader.h", "C++", 16, 0, 4, 20
"/home/breno/dev/graphics/src/resources/shaderloader.cpp", "C++", 5, 0, 1, 6
"/home/breno/dev/graphics/src/resources/shaderloader.h", "C++", 8, 0, 3, 11
"/home/breno/dev/graphics/src/resources/textureloader.cpp", "C++", 9, 0, 3, 12
"/home/breno/dev/graphics/src/resources/textureloader.h", "C++", 9, 0, 4, 13
"/home/breno/dev/graphics/src/scenering/gameobject.cpp", "C++", 56, 0, 9, 65
"/home/breno/dev/graphics/src/scenering/gameobject.h", "C++", 52, 0, 15, 67
"/home/breno/dev/graphics/src/scenering/iscenesetup.h", "C++", 11, 0, 5, 16
"/home/breno/dev/graphics/src/scenering/rendersettings.h", "C++", 21, 0, 7, 28
"/home/breno/dev/graphics/src/scenering/scene.cpp", "C++", 75, 0, 16, 91
"/home/breno/dev/graphics/src/scenering/scene.h", "C++", 47, 0, 14, 61
"/home/breno/dev/graphics/src/scenering/scenedata.h", "C++", 39, 0, 9, 48
"/home/breno/dev/graphics/src/scenering/scenemanager.cpp", "C++", 32, 0, 9, 41
"/home/breno/dev/graphics/src/scenering/scenemanager.h", "C++", 16, 0, 6, 22
"/home/breno/dev/graphics/src/scenering/skybox.h", "C++", 15, 0, 5, 20
"/home/breno/dev/graphics/src/scenes/demoscene.cpp", "C++", 142, 0, 25, 167
"/home/breno/dev/graphics/src/scenes/demoscene.h", "C++", 9, 0, 3, 12
"/home/breno/dev/graphics/src/systems/rendersystem.cpp", "C++", 156, 0, 36, 192
"/home/breno/dev/graphics/src/systems/rendersystem.h", "C++", 41, 0, 7, 48
"/home/breno/dev/graphics/src/window.cpp", "C++", 56, 0, 14, 70
"/home/breno/dev/graphics/src/window.h", "C++", 27, 0, 8, 35
"Total", "-", 2549, 7, 641, 3197
